article,image_url
1000099669,https://images-foodtech.magnit.ru/VxJD8KBGyKIDVBe5k3yTOngh5kWdX9h0LIDZ3bH8_mc/rs:fit:1600:1600/plain/s3://img-dostavka/uf/f79/f79b88e30eeebee4cd687aa2ddbb6b38/cdeb0fbed4c734a2756d2dc18bae49e4.jpeg@webp
1000174186,https://images-foodtech.magnit.ru/8Tzsgl_q3LpxpNbeGEIBW8LPDh_NnjhdKE4oxXYfDPY/rs:fit:1600:1600/plain/s3://img-dostavka/uf/350/350a8a296e6f7386eca807020487b602/d0dbf7c593f8d0c71f711f8d972b8ba5.jpeg@webp
1000174186,https://images-foodtech.magnit.ru/8Tzsgl_q3LpxpNbeGEIBW8LPDh_NnjhdKE4oxXYfDPY/rs:fit:1600:1600/plain/s3://img-dostavka/uf/350/350a8a296e6f7386eca807020487b602/d0dbf7c593f8d0c71f711f8d972b8ba5.jpeg@webp
1000180808,https://images-foodtech.magnit.ru/G84vmGTETOyc4LoChXekzjcCnyiSiXI16jpmQc8gUXc/rs:fit:1600:1600/plain/s3://img-dostavka/uf/e68/e68dcc5e6bac5698da5be9fdffe8f429/b004813d275bfab9563ee47547d9a4d2.jpeg@webp
1000467583,https://images-foodtech.magnit.ru/Nmyg3Lpr-R00VL3G6En8_FfOODgkOHIWBZIqemoav70/rs:fit:1600:1600/plain/s3://img-dostavka/uf/c0e/c0e01f75cd68a9d852b9ee6a5b4204e5/7f3767687ffa5d89e8dc8e0f22752325.jpeg@webp
1000575679,https://images-foodtech.magnit.ru/2b7HnaxeMgROKn_zIyq6yczFTmRI28l6MvKB22oy3mI/rs:fit:1600:1600/plain/s3://img-dostavka/uf/562/5627fefbf2d0b097f22dc4d2c9e237ae/2ca870f18d571cdfbec6ab2d4fcec7fb.jpeg@webp
1000200904,https://images-foodtech.magnit.ru/cnGHngLjSGEJvoKdYhd1Ho2PNFHGlXzWoZsY7SvJz8c/rs:fit:1600:1600/plain/s3://img-dostavka/uf/da1/da1a57f77ff79c81266675a712d62264/dadc58e0d97211816d7b72d806eb7638.jpeg@webp
1000200904,https://images-foodtech.magnit.ru/cnGHngLjSGEJvoKdYhd1Ho2PNFHGlXzWoZsY7SvJz8c/rs:fit:1600:1600/plain/s3://img-dostavka/uf/da1/da1a57f77ff79c81266675a712d62264/dadc58e0d97211816d7b72d806eb7638.jpeg@webp
1000318822,https://images-foodtech.magnit.ru/t4s06_k5R3-s2hkl9d7hTv5DGlEYA37DwH4ukzFXaH0/rs:fit:1600:1600/plain/s3://img-dostavka/uf/8c7/8c7b5b24fef251c8dfe585d81c2ab20e/a5701501def1dbe737a8c214e2807568.jpeg@webp
9009072909,https://images-foodtech.magnit.ru/ba8R0512-icScBYvoRMLXDkozmQkf0gnMg_3FiQijT8/rs:fit:1600:1600/plain/s3://img-dostavka/uf/33f/33f564cba21c646fa54292af568a6486/1838de5b28e1e87232fecba0c92a68a3.jpeg@webp
